loss,kl,elbo,alpha
675.9789,201.29352,677.58923,0.008
1450.5093,239.42508,1452.4247,0.008
885.95715,220.73676,887.723,0.008
1056.8239,248.21063,1058.8096,0.008
765.6436,220.65608,767.4089,0.008
593.5322,199.12782,595.12524,0.008
741.5248,207.18259,743.18225,0.008
571.9858,194.0896,573.5385,0.008
622.0604,216.7211,623.7942,0.008
1362.749,271.14114,1364.9182,0.008
1643.4832,277.1975,1645.7007,0.008
1214.2192,249.44711,1216.2148,0.008
1272.4354,248.93848,1274.4269,0.008
736.75024,213.57495,738.45886,0.008
614.78784,184.60179,616.26465,0.008
588.16925,208.66248,589.83856,0.008
1640.1401,256.65164,1642.1934,0.008
513.2294,183.77954,514.6996,0.008
1514.7534,244.9885,1516.7134,0.008
1043.1017,257.46173,1045.1614,0.008
967.35144,248.94687,969.343,0.008
997.84515,243.92307,999.7965,0.008
1083.1316,235.66928,1085.017,0.008
1207.1244,246.50461,1209.0964,0.008
479.7256,189.36528,481.2405,0.008
1059.4539,228.28291,1061.2802,0.008
1952.8733,281.02283,1955.1215,0.008
1023.46094,240.09636,1025.3817,0.008
580.21814,226.9508,582.03375,0.008
324.02893,197.81572,325.61145,0.008
1175.6404,255.50272,1177.6844,0.008
1030.6311,245.26279,1032.5933,0.008
770.04987,230.422,771.89325,0.008
1042.637,229.21709,1044.4707,0.008
1062.8026,257.19635,1064.8602,0.008
1086.7935,226.0694,1088.602,0.008
976.7754,235.9709,978.66315,0.008
211.00642,177.83878,212.42914,0.008
452.6673,208.23514,454.3332,0.008
1210.6157,244.28143,1212.57,0.008
703.64575,215.81775,705.3723,0.008
1225.3611,237.03831,1227.2574,0.008
795.1992,220.41382,796.9625,0.008
1968.4558,269.8506,1970.6146,0.008
1258.248,236.3572,1260.1389,0.008
616.0979,212.46225,617.7976,0.008
798.56635,243.34686,800.5131,0.008
385.20264,215.41652,386.92596,0.008
1007.4611,257.35928,1009.52,0.008
654.7299,202.65419,656.35114,0.008
381.53482,180.27756,382.97705,0.008
1604.8419,268.37576,1606.9889,0.008
1075.3413,227.26503,1077.1594,0.008
1244.4316,221.43094,1246.2031,0.008
995.10547,225.44283,996.909,0.008
813.5504,193.72763,815.1002,0.008
883.7416,208.90001,885.4128,0.008
1291.5321,225.16821,1293.3335,0.008
924.5802,224.48534,926.3761,0.008
405.33917,167.16103,406.67645,0.008
784.68384,219.9628,786.44354,0.008
703.63403,235.80539,705.52045,0.008
1175.233,217.84602,1176.9758,0.008
971.0803,226.83176,972.89496,0.008
857.4867,230.2201,859.3284,0.008
1675.8083,256.22958,1677.8582,0.008
712.0215,200.238,713.6234,0.008
1048.582,231.00002,1050.43,0.008
630.94916,219.06825,632.7017,0.008
1101.8594,208.61536,1103.5283,0.008
678.32263,207.23256,679.98047,0.008
336.03125,201.57236,337.64383,0.008
1447.3807,250.05573,1449.3812,0.008
720.0181,190.67897,721.5436,0.008
741.28625,209.367,742.9612,0.008
382.94577,164.11641,384.2587,0.008
715.41846,212.33005,717.1171,0.008
1434.1091,233.15347,1435.9744,0.008
399.44226,179.55798,400.87872,0.008
1303.8804,258.14713,1305.9456,0.008
691.29,199.81305,692.8885,0.008
67.68065,153.82893,68.91128,0.008
862.8319,232.92511,864.6953,0.008
931.9691,207.37805,933.6281,0.008
1079.2347,232.33,1081.0934,0.008
1259.4513,229.13211,1261.2843,0.008
509.2754,180.89133,510.72253,0.008
1350.544,247.82831,1352.5266,0.008
765.3227,243.942,767.27423,0.008
492.87173,203.44865,494.49933,0.008
1898.9436,299.12042,1901.3365,0.008
984.2598,231.8313,986.1145,0.008
846.00946,216.11353,847.73834,0.008
1037.5964,225.55176,1039.4009,0.008
126.78291,157.37979,128.04195,0.008
383.55832,163.09616,384.8631,0.008
690.9175,217.98439,692.6614,0.008
1636.8252,269.3548,1638.98,0.008
1188.1665,246.89507,1190.1417,0.008
